task,horizon,local_model,global_model,fold,ticker,n,local_primary,global_primary,global_improvement_vs_local_pct,test_start,test_end
regression,5,ridge,ridge,4,PETR4.SA,244,0.03671776275722992,0.03741819566679063,-1.9076132557199266,2024-09-10,2025-09-02
regression,5,ridge,ridge,4,SPY,245,0.02271922099604496,0.023211615558473394,-2.1673038988183246,2024-09-10,2025-09-02
regression,5,ridge,ridge,4,VALE3.SA,244,0.036931646486658753,0.03688181907491119,0.1349179267313784,2024-09-10,2025-09-02
regression,5,ridge,ridge,4,WEGE3.SA,244,0.044285311729935696,0.04435719704338947,-0.16232315105321482,2024-09-10,2025-09-02
regression,5,ridge,ridge,5,AAPL,247,0.03711814945652549,0.03651968162163178,1.6123320899784124,2025-09-03,2026-08-26
regression,5,ridge,ridge,5,BOVA11.SA,243,0.02639469384150435,0.026156263177353187,0.9033280157856652,2025-09-03,2026-08-26
regression,5,ridge,ridge,5,ITUB4.SA,245,0.03632771370269422,0.03629108235082559,0.1008358306509942,2025-09-03,2026-08-26
regression,5,ridge,ridge,5,JPM,246,0.027384813632556942,0.02762095235744352,-0.862298089937849,2025-09-03,2026-08-26
regression,5,ridge,ridge,5,MSFT,247,0.053529415674564734,0.05300770836063368,0.9746179878046898,2025-09-03,2026-08-26
regression,5,ridge,ridge,5,NVDA,247,0.049597004145381526,0.04867861904174777,1.8516947131357633,2025-09-03,2026-08-26
regression,5,ridge,ridge,5,PETR4.SA,245,0.04212202881028652,0.040544987037766905,3.743983414527475,2025-09-03,2026-08-26
regression,5,ridge,ridge,5,SPY,247,0.017729529287456625,0.01742854793373688,1.6976274374790452,2025-09-03,2026-08-26
regression,5,ridge,ridge,5,VALE3.SA,245,0.03731830652531737,0.03704835203693374,0.7233835442143827,2025-09-03,2026-08-26
regression,5,ridge,ridge,5,WEGE3.SA,245,0.0424266683895536,0.04161009086550038,1.9246798182585465,2025-09-03,2026-08-26
classification,5,logistic,logistic,1,AAPL,245,0.7205185209353929,0.7113805586941687,1.268248070758973,2021-10-07,2022-09-27
classification,5,logistic,logistic,1,BOVA11.SA,243,0.7136687870646492,0.7118877512191181,0.24956056336113697,2021-10-07,2022-09-27
classification,5,logistic,logistic,1,ITUB4.SA,243,0.7084183427553816,0.6978830986037289,1.487150108321036,2021-10-07,2022-09-27
classification,5,logistic,logistic,1,JPM,245,0.7121457982792799,0.7394023686369678,-3.8273862492128043,2021-10-07,2022-09-27
classification,5,logistic,logistic,1,MSFT,245,0.7721918930780948,0.7149263201889089,7.415976961492704,2021-10-07,2022-09-27
