ticker,task,horizon,local_model,global_model,n,local_primary,global_primary,global_improvement_vs_local_pct,local_rmse,local_mae,local_directional_accuracy,global_rmse,global_mae,global_directional_accuracy,criterion,statistic,pvalue_two_sided,pvalue_global_better,hac_lags,qvalue_global_better,local_log_loss,local_brier,local_accuracy,global_log_loss,global_brier,global_accuracy
AAPL,classification,10,logistic,logistic,1226,0.705840895601236,0.6872791372711703,2.6297368777782077,,,,,,,log_loss,-2.1198878458421864,0.03401550462818825,0.01700775231409407,9,0.08903259206607866,0.705840895601236,0.25539178171640575,0.5522022838499184,0.6872791372711703,0.24696635728721691,0.5709624796084829
BOVA11.SA,classification,10,logistic,logistic,1217,0.7022394298010199,0.7003465716357509,0.2695459817466268,,,,,,,log_loss,-0.19545376452539948,0.8450377301247314,0.42251886506236563,9,0.6035983786605224,0.7022394298010199,0.2544125491049621,0.5061626951520132,0.7003465716357509,0.25350336812381064,0.5258833196384552
ITUB4.SA,classification,10,logistic,logistic,1219,0.6924480100040122,0.6923228723170487,0.018071780863781226,,,,,,,log_loss,-0.012252389625242114,0.9902242520766162,0.4951121260383082,9,0.6188901575478852,0.6924480100040122,0.2496148328954931,0.5217391304347826,0.6923228723170487,0.2494188934143192,0.55701394585726
JPM,classification,10,logistic,logistic,1225,0.6904296126281821,0.6825387157325987,1.14289664742884,,,,,,,log_loss,-0.8222595239555855,0.4109292078646023,0.2054646039323011,9,0.4109292078646022,0.6904296126281821,0.2485915018133192,0.5314285714285715,0.6825387157325987,0.24465890955733588,0.5828571428571429
MSFT,classification,10,logistic,logistic,1226,0.725124789505337,0.695678190632419,4.060900868249972,,,,,,,log_loss,-2.101318272174037,0.035613036826431355,0.017806518413215733,9,0.08903259206607866,0.725124789505337,0.26291962542322067,0.5489396411092985,0.695678190632419,0.25115397410634455,0.5432300163132137
NVDA,classification,10,logistic,logistic,1226,0.6927433233754551,0.6957043982168286,-0.42744184483012077,,,,,,,log_loss,0.36156105472637556,0.7176800721656886,0.6411599639171557,9,0.7123999599079508,0.6927433233754551,0.2493082216323759,0.5636215334420881,0.6957043982168286,0.2507794695257509,0.5815660685154975
PETR4.SA,classification,10,logistic,logistic,1219,0.6907423263514818,0.6837302771745689,1.015146880306396,,,,,,,log_loss,-0.5279016220650165,0.5975676188308472,0.2987838094154236,9,0.4979730156923727,0.6907423263514818,0.24835507219559358,0.5520918785890074,0.6837302771745689,0.24524594644930903,0.5816242821985234
SPY,classification,10,logistic,logistic,1226,0.6815707175392893,0.6696286573699614,1.7521380924994874,,,,,,,log_loss,-0.9929672132487105,0.32072593266900506,0.16036296633450253,9,0.4109292078646022,0.6815707175392893,0.2435128172236469,0.6125611745513866,0.6696286573699614,0.23831972609526275,0.6141924959216966
VALE3.SA,classification,10,logistic,logistic,1218,0.7098350487278126,0.7019206480185433,1.114963359931821,,,,,,,log_loss,-0.8552170422302824,0.3924310032353242,0.19621550161766216,9,0.4109292078646022,0.7098350487278126,0.25823605313108194,0.4720853858784893,0.7019206480185433,0.2542119183228098,0.5254515599343186
WEGE3.SA,classification,10,logistic,logistic,1218,0.7013343374448728,0.707531821134567,-0.8836703635919347,,,,,,,log_loss,1.068174499611285,0.28544180527774055,0.8572790973611297,9,0.8572790973611297,0.7013343374448728,0.2538864349681924,0.5238095238095238,0.707531821134567,0.2569907948261177,0.5213464696223317
AAPL,regression,20,ridge,ridge,1226,0.07533985902120306,0.07436375722587339,1.2955981176643345,0.07533985902120306,0.061349144838988734,0.5929853181076672,0.07436375722587339,0.060573803518067265,0.5954323001631321,mse,-0.8636609339753637,0.38777418006141784,0.19388709003070892,19,0.276981557186727,,,,,,
BOVA11.SA,regression,20,ridge,ridge,1217,0.05322661251706681,0.052018033124399496,2.270629926486102,0.05322661251706681,0.04221124888716538,0.48233360723089563,0.052018033124399496,0.04150511841666982,0.5349219391947412,mse,-1.3925064065746586,0.16376910297806058,0.08188455148903029,19,0.2729485049634343,,,,,,
